,item_id,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year_category,month_sin,month_cos
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
3,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
4,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
6,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1990s,0.49999999999999994,0.8660254037844387
7,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
8,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
9,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1990s,0.49999999999999994,0.8660254037844387
10,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
11,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1990s,-0.8660254037844384,-0.5000000000000004
12,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s,-0.8660254037844386,0.5000000000000001
13,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
14,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
15,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
16,17,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1990s,0.8660254037844386,0.5000000000000001
17,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
18,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
19,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
20,21,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1990s,0.8660254037844386,0.5000000000000001
21,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1990s,0.8660254037844386,0.5000000000000001
22,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1990s,0.8660254037844386,0.5000000000000001
23,24,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1990s,0.8660254037844386,0.5000000000000001
24,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s,1.0,6.123233995736766e-17
25,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
26,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
27,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
28,29,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
29,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1960s,0.49999999999999994,0.8660254037844387
30,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1990s,0.49999999999999994,0.8660254037844387
31,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
32,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
33,34,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
34,35,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
35,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
36,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
37,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1990s,0.49999999999999994,0.8660254037844387
38,39,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1990s,0.49999999999999994,0.8660254037844387
39,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
40,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
41,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
42,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
43,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
44,45,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
45,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
46,47,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
47,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
48,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
49,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1970s,0.49999999999999994,0.8660254037844387
50,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1990s,0.49999999999999994,0.8660254037844387
51,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990s,0.49999999999999994,0.8660254037844387
52,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
53,54,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1990s,0.49999999999999994,0.8660254037844387
